labels,geodesic,functional,structural
120,0.33284628,0.9004124746271129,0.5720580170652286
120,0.0,0.9004124746271129,0.5720580170652286
107,0.3249638,0.4450916842627777,0.5052936391597606
128,0.40736178,0.43208467842419696,0.42389246738040054
123,0.32035434,0.38062600180063644,0.7486450471082333
131,0.24460429,0.6436132725151982,0.0816572268579835
131,0.33105022,0.6436132725151982,0.0816572268579835
131,0.3384447,0.6436132725151982,0.0816572268579835
172,0.36476815,0.5444267910880161,0.25348821590196485
122,0.31750324,0.8191241738672006,0.42543587516352505
157,0.77377856,0.18752831661332925,0.21274132151666075
138,0.7385028,0.21774271281081603,0.23413232514230045
137,0.74159014,0.2685865703516779,0.2160517413240088
177,0.58823854,0.5123773434401229,0.15201769565349843
133,0.64736944,0.3879000350980002,0.19942808035645712
134,0.5883099,0.6638523525661708,0.2622927367423264
136,0.54479975,0.5223326916507416,0.40010271557973354
134,0.5263666,0.6638523525661708,0.2622927367423264
1,0.7558605,0.5662171955216913,0.0
1,0.7336264,0.5662171955216913,0.0
1,0.76963043,0.5662171955216913,0.0
6,0.7148638,0.2699418873061452,0.6655899910083684
6,0.7121693,0.2699418873061452,0.6655899910083684
7,0.6585619,0.2228249798342281,0.4975863081962405
154,0.62847006,0.2453042864533841,0.33954394683366207
163,0.6264076,0.40115373241571195,0.3225649094631079
